 24COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0xA0, 0x00, 0x00, 0x00, 0x0
 25COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0xA0, 0x00, 0x00, 0x00, 0x0
 26COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0xA0, 0x00, 0x00, 0x00, 0x0
 27COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0xA0, 0x00, 0x00, 0x00, 0x0
 28COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0xA0, 0x00, 0x00, 0x00, 0x0
 29COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0xA0, 0x00, 0x00, 0x00, 0x0
 30COOL       HIGH    OFF  0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0xA0, 0x00, 0x00, 0x00, 0x0
 16COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x1C, 0x00, 0x00, 0x00, 0x0
 17COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x1C, 0x00, 0x00, 0x00, 0x0
 18COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x1C, 0x00, 0x00, 0x00, 0x0
 19COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x1C, 0x00, 0x00, 0x00, 0x0
 20COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x1C, 0x00, 0x00, 0x00, 0x0
 21COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x1C, 0x00, 0x00, 0x00, 0x0
 22COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x1C, 0x00, 0x00, 0x00, 0x0
 23COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x1C, 0x00, 0x00, 0x00, 0x0
